#Title : in-situ observations catalog
#Description : catalog of available in-situ observations per platform
#Project : MyOcean
#Format Version : 1.0
#Last Update : 20151217130514
#catalog_id,file_name,geospatial_lat_min,geospatial_lat_max,geospatial_lon_min,geospatial_lon_max,time_coverage_start,time_coverage_end,provider,date_update,data_mode,parameters
MYO-MOON-01,ftp://medinsitu.hcmr.gr/Core/INSITU_MED_NRT_OBSERVATIONS_013_035/latest/20151117/GL_LATEST_PR_PF_6901817_20151117.nc,31.9908,31.9908,26.6221,26.6221,2015-11-17T23:47:00Z,2015-11-17T23:47:00Z,OGS  ISTITUTO NAZIONALE DI OCEANOGRAFIA E GEOFISICA SPERMENTALE,2015-12-01T11:25:38Z,R, PRES TEMP PSAL
MYO-MOON-01,ftp://medinsitu.hcmr.gr/Core/INSITU_MED_NRT_OBSERVATIONS_013_035/latest/20151117/GL_LATEST_PR_PF_6901830_20151117.nc,35.7309,35.7309,16.0736,16.0736,2015-11-17T23:49:00Z,2015-11-17T23:49:00Z,OGS  ISTITUTO NAZIONALE DI OCEANOGRAFIA E GEOFISICA SPERMENTALE,2015-12-01T12:53:52Z,R, PRES TEMP PSAL
MYO-MOON-01,ftp://medinsitu.hcmr.gr/Core/INSITU_MED_NRT_OBSERVATIONS_013_035/latest/20151117/GL_LATEST_PR_PF_6901836_20151117.nc,41.0057,41.0057,1.82146,1.82146,2015-11-17T00:02:00Z,2015-11-17T00:02:00Z,OGS  ISTITUTO NAZIONALE DI OCEANOGRAFIA E GEOFISICA SPERMENTALE,2015-12-01T19:18:45Z,R, PRES TEMP PSAL
MYO-MOON-01,ftp://medinsitu.hcmr.gr/Core/INSITU_MED_NRT_OBSERVATIONS_013_035/latest/20151117/GL_LATEST_PR_PF_6901845_20151117.nc,35.883,35.883,29.6679,29.6679,2015-11-17T23:45:00Z,2015-11-17T23:45:00Z,OGS  ISTITUTO NAZIONALE DI OCEANOGRAFIA E GEOFISICA SPERMENTALE,2015-12-01T20:38:13Z,R, PRES TEMP PSAL
MYO-MOON-01,ftp://medinsitu.hcmr.gr/Core/INSITU_MED_NRT_OBSERVATIONS_013_035/latest/20151117/GL_LATEST_PR_PF_6901847_20151117.nc,37.2849,37.2849,19.0568,19.0568,2015-11-17T23:56:00Z,2015-11-17T23:56:00Z,OGS  ISTITUTO NAZIONALE DI OCEANOGRAFIA E GEOFISICA SPERMENTALE,2015-12-01T17:51:05Z,R, PRES TEMP PSAL
MYO-MOON-01,ftp://medinsitu.hcmr.gr/Core/INSITU_MED_NRT_OBSERVATIONS_013_035/latest/20151117/GL_LATEST_PR_PF_6901868_20151117.nc,36.132,36.132,34.956,34.956,2015-11-17T10:25:44Z,2015-11-17T10:25:44Z,OGS  ISTITUTO NAZIONALE DI OCEANOGRAFIA E GEOFISICA SPERMENTALE,2015-12-01T10:03:25Z,R, PRES TEMP PSAL PRES_ADJUSTED
MYO-MOON-01,ftp://medinsitu.hcmr.gr/Core/INSITU_MED_NRT_OBSERVATIONS_013_035/latest/20151117/GL_LATEST_PR_PF_6902601_20151117.nc,35.974,35.974,19.774,19.774,2015-11-17T11:57:00Z,2015-11-17T11:57:00Z,Bundesamt fur Seeschifffahrt und Hydrographie  BSH,2015-12-01T19:19:53Z,R, PRES TEMP PSAL
MYO-MOON-01,ftp://medinsitu.hcmr.gr/Core/INSITU_MED_NRT_OBSERVATIONS_013_035/latest/20151117/GL_LATEST_PR_PF_6902602_20151117.nc,38.582,38.582,19.202,19.202,2015-11-17T12:02:00Z,2015-11-17T12:02:00Z,Bundesamt fur Seeschifffahrt und Hydrographie  BSH,2015-12-01T16:10:07Z,R, PRES TEMP PSAL
MYO-MOON-01,ftp://medinsitu.hcmr.gr/Core/INSITU_MED_NRT_OBSERVATIONS_013_035/latest/20151117/GL_LATEST_TS_DB_13905_20151117.nc,36.517,36.638,-2.474,-2.323,2015-11-17T00:00:00Z,2015-11-17T22:00:00Z,UNKNOWN INSTITUTION,2015-11-18T01:47:11Z,R, TEMP DEPH
MYO-MOON-01,ftp://medinsitu.hcmr.gr/Core/INSITU_MED_NRT_OBSERVATIONS_013_035/latest/20151117/GL_LATEST_TS_DB_6100538_20151117.nc,39.8001,39.8809,5.9947,6.1024,2015-11-17T00:00:04Z,2015-11-17T23:00:57Z,SHOM,2015-11-24T11:23:24Z,R, DEPH TEMP NSCT EWCT
MYO-MOON-01,ftp://medinsitu.hcmr.gr/Core/INSITU_MED_NRT_OBSERVATIONS_013_035/latest/20151117/GL_LATEST_TS_DB_6100863_20151117.nc,39.1586,39.2968,2.7248,2.8243,2015-11-17T00:00:32Z,2015-11-17T23:00:32Z,SHOM,2015-11-18T05:23:05Z,R, DEPH TEMP NSCT EWCT
MYO-MOON-01,ftp://medinsitu.hcmr.gr/Core/INSITU_MED_NRT_OBSERVATIONS_013_035/latest/20151117/GL_LATEST_TS_DB_6100865_20151117.nc,41.1955,41.2089,6.0424,6.107,2015-11-17T00:00:14Z,2015-11-17T23:00:38Z,SHOM,2015-11-24T11:23:06Z,R, DEPH TEMP NSCT EWCT
MYO-MOON-01,ftp://medinsitu.hcmr.gr/Core/INSITU_MED_NRT_OBSERVATIONS_013_035/latest/20151117/GL_LATEST_TS_DB_6100866_20151117.nc,40.4311,40.4565,6.0598,6.1375,2015-11-17T00:00:13Z,2015-11-17T23:00:13Z,SHOM,2015-11-18T05:26:42Z,R, DEPH TEMP NSCT EWCT
MYO-MOON-01,ftp://medinsitu.hcmr.gr/Core/INSITU_MED_NRT_OBSERVATIONS_013_035/latest/20151117/GL_LATEST_TS_DB_6100867_20151117.nc,40.6602,40.8036,1.5763,1.6965,2015-11-17T00:00:12Z,2015-11-17T23:00:10Z,SHOM,2015-11-24T11:23:21Z,R, DEPH TEMP NSCT EWCT
MYO-MOON-01,ftp://medinsitu.hcmr.gr/Core/INSITU_MED_NRT_OBSERVATIONS_013_035/latest/20151117/GL_LATEST_TS_DB_61652_20151117.nc,37.985,38.263,6.467,6.641,2015-11-17T01:08:00Z,2015-11-17T21:29:00Z,UNKNOWN INSTITUTION,2015-11-18T01:36:32Z,R, TEMP DEPH
MYO-MOON-01,ftp://medinsitu.hcmr.gr/Core/INSITU_MED_NRT_OBSERVATIONS_013_035/latest/20151117/GL_LATEST_TS_DB_62907_20151117.nc,37.624,37.641,8.127,8.273,2015-11-17T01:09:00Z,2015-11-17T21:29:00Z,UNKNOWN INSTITUTION,2015-11-18T01:30:17Z,R, TEMP DEPH
MYO-MOON-01,ftp://medinsitu.hcmr.gr/Core/INSITU_MED_NRT_OBSERVATIONS_013_035/latest/20151117/GL_LATEST_TS_DB_62909_20151117.nc,37.838,37.865,0.026,0.063,2015-11-17T01:04:00Z,2015-11-17T23:07:00Z,UNKNOWN INSTITUTION,2015-11-18T01:36:38Z,R, TEMP DEPH
MYO-MOON-01,ftp://medinsitu.hcmr.gr/Core/INSITU_MED_NRT_OBSERVATIONS_013_035/latest/20151117/GL_LATEST_TS_MO_61001_20151117.nc,43.4,43.4,7.8,7.8,2015-11-17T00:00:00Z,2015-11-17T23:00:00Z,Meteo-France,2015-11-18T03:41:08Z,R, TEMP ATMS ATPT WSPD DEWT DRYT RELH SWPR SWHT WDIR DEPH
MYO-MOON-01,ftp://medinsitu.hcmr.gr/Core/INSITU_MED_NRT_OBSERVATIONS_013_035/latest/20151117/GL_LATEST_TS_MO_AjaccioTG_20151117.nc,41.9227,41.9227,8.7629,8.7629,2015-11-17T00:00:00Z,2015-11-17T23:50:00Z,SHOM,2015-12-07T21:08:01Z,R, DEPH SLEV
MYO-MOON-01,ftp://medinsitu.hcmr.gr/Core/INSITU_MED_NRT_OBSERVATIONS_013_035/latest/20151117/GL_LATEST_TS_MO_CenturiTG_20151117.nc,42.9658,42.9658,9.34983,9.34983,2015-11-17T00:00:00Z,2015-11-17T23:50:00Z,SHOM,2015-12-07T21:02:07Z,R, DEPH SLEV
MYO-MOON-01,ftp://medinsitu.hcmr.gr/Core/INSITU_MED_NRT_OBSERVATIONS_013_035/latest/20151117/GL_LATEST_TS_MO_FosSurMerTG_20151117.nc,43.4049,43.4049,4.89294,4.89294,2015-11-17T00:00:00Z,2015-11-17T23:50:00Z,SHOM,2015-12-07T20:52:03Z,R, DEPH SLEV
MYO-MOON-01,ftp://medinsitu.hcmr.gr/Core/INSITU_MED_NRT_OBSERVATIONS_013_035/latest/20151117/GL_LATEST_TS_MO_IleRousseTG_20151117.nc,42.6396,42.6396,8.93524,8.93524,2015-11-17T00:00:00Z,2015-11-17T23:50:00Z,SHOM,2015-12-07T20:52:30Z,R, DEPH SLEV
